bolgeler;il;ilce;biyometanizasyona_uygun_belediye_atiklarim_miktari_ton_yil;yakmaya_uygun_belediye_atiklari_miktari_ton_yil;biyometanizasyona_uygun_belediye_atiklari_enerji_esdegeri_tep_yil;yakmaya_uygun_belediye_tiklari_enerji_esdegeri_tep_yil;biyometanizasyona_ve_yakmaya_uygun_toplam_enerjiesdegeri_tep_yil
Akdeniz Bölgesi;Adana;Seyhan;122509,3;149733,6;3950,9;25459,3;29410,2
Akdeniz Bölgesi;Adana;Ceyhan;24776,4;30282,2;799;5148,9;5947,9
Akdeniz Bölgesi;Adana;Feke;2710,4;3312,7;87,4;563,3;650,7
Akdeniz Bölgesi;Adana;Karataþ;3791,8;4634,4;122,3;788;910,3
Akdeniz Bölgesi;Adana;Kozan;20147,8;24625,1;649,8;4187;4836,8
Akdeniz Bölgesi;Adana;Karaisalý;3444,2;4209,6;111,1;715,8;826,9
Akdeniz Bölgesi;Adana;Saimbeyli;2368,1;2894,4;76,4;492,1;568,5
Akdeniz Bölgesi;Adana;Pozantý;3193,4;3903;103;663,6;766,6
Akdeniz Bölgesi;Adana;Çukurova;56467,7;69016;1821,1;11734,8;13555,9
Akdeniz Bölgesi;Adana;Sarýçam;26734,1;32675;862,2;5555,8;6418
Akdeniz Bölgesi;Adana;Yumurtalýk;2869,7;3507,5;92,5;596,4;688,9
Akdeniz Bölgesi;Adana;Ýmamoðlu;4360;5328,8;140,6;906,1;1046,7
Akdeniz Bölgesi;Adana;Yüreðir;64104,5;78349,9;2067,4;13321,9;15389,3
Akdeniz Bölgesi;Adana;Tufanbeyli;2727,7;3333,9;88;566,9;654,9
Akdeniz Bölgesi;Adana;Aladað;2571,1;3142,5;82,9;534,3;617,2
Güneydoðu Anadolu Bölgesi;Adýyaman;Besni;10157,4;12414,5;327,6;1738,3;2065,9
Güneydoðu Anadolu Bölgesi;Adýyaman;Gerger;2501,2;3057;80,7;428,1;508,8
Güneydoðu Anadolu Bölgesi;Adýyaman;Gölbaþý;6472,1;7910,4;208,7;1107,6;1316,3
Güneydoðu Anadolu Bölgesi;Adýyaman;Samsat;1037,1;1267,6;33,4;177,5;210,9
Güneydoðu Anadolu Bölgesi;Adýyaman;Kahta;16132,5;19717,5;520,3;2760,9;3281,2
Güneydoðu Anadolu Bölgesi;Adýyaman;Merkez;40026,4;48921,2;1290,9;6850,2;8141,1
Güneydoðu Anadolu Bölgesi;Adýyaman;Çelikhan;2110,9;2580;68,1;361,3;429,4
Güneydoðu Anadolu Bölgesi;Adýyaman;Sincik;2288,2;2796,7;73,8;391,6;465,4
Güneydoðu Anadolu Bölgesi;Adýyaman;Tut;1335,2;1631,9;43,1;228,5;271,6
Ege Bölgesi;Afyonkarahisar;Merkez;57096,7;69784,9;1841,4;9771,6;11613
Ege Bölgesi;Afyonkarahisar;Bolvadin;8268,6;10106,1;266,7;1415,1;1681,8
Ege Bölgesi;Afyonkarahisar;Çay;5984,9;7314,9;193;1024,3;1217,3
Ege Bölgesi;Afyonkarahisar;Dinar;9012,8;11015,7;290,7;1542,5;1833,2
Ege Bölgesi;Afyonkarahisar;Dazkýrý;2128,8;2601,9;68,7;364,3;433
Ege Bölgesi;Afyonkarahisar;Emirdað;7205,3;8806,4;232,4;1233,1;1465,5
Ege Bölgesi;Afyonkarahisar;Ýhsaniye;5449,7;6660,8;175,8;932,7;1108,5
Ege Bölgesi;Afyonkarahisar;Çobanlar;2763,3;3377,3;89,1;472,9;562
Ege Bölgesi;Afyonkarahisar;Kýzýlören;469,3;573,6;46037;80,3;46117,3
Ege Bölgesi;Afyonkarahisar;Sandýklý;10704,4;13083,1;345,2;1832;2177,2
Ege Bölgesi;Afyonkarahisar;Baþmakçý;1911,2;2335,9;61,6;327,1;388,7
Ege Bölgesi;Afyonkarahisar;Bayat;1488,6;1819,4;48;254,8;302,8
Ege Bölgesi;Afyonkarahisar;Sultandaðý;2872,4;3510,7;92,6;491,6;584,2
Ege Bölgesi;Afyonkarahisar;Ýscehisar;4674,5;5713,2;150,8;800;950,8
Ege Bölgesi;Afyonkarahisar;Evciler;1443,1;1763,8;46,5;247;293,5
Ege Bölgesi;Afyonkarahisar;Hocalar;1828,5;2234,9;59;312,9;371,9
Ege Bölgesi;Afyonkarahisar;Þuhut;7039,5;8603,8;227;1204,8;1431,8
Ege Bölgesi;Afyonkarahisar;Sinanpaþa;7900,9;9656,7;254,8;1352,2;1607
Doðu Anadolu Bölgesi;Aðrý;Merkez;19603,3;23959,6;632,2;3354,9;3987,1
Doðu Anadolu Bölgesi;Aðrý;Diyadin;5535;6765;178,5;947,3;1125,8
Doðu Anadolu Bölgesi;Aðrý;Doðubeyazýt;15934;19474,8;513,9;2727;3240,9
Doðu Anadolu Bölgesi;Aðrý;Eleþkirt;4491,3;5489,3;144,8;768,6;913,4
Doðu Anadolu Bölgesi;Aðrý;Hamur;2511,7;3069,9;81;429,9;510,9
Doðu Anadolu Bölgesi;Aðrý;Patnos;16140,3;19727;520,5;2762,3;3282,8
Doðu Anadolu Bölgesi;Aðrý;Taþlýçay;2687,1;3284,3;86,7;459,9;546,6
Doðu Anadolu Bölgesi;Aðrý;Tutak;4008,4;4899,1;129,3;686;815,3
Karadeniz Bölgesi;Amasya;Merkez;22038,3;26935,8;710,7;3771,7;4482,4
Karadeniz Bölgesi;Amasya;Göynücek;1582,2;1933,8;51;270,8;321,8
Karadeniz Bölgesi;Amasya;Gümüþhacýköy;3508,5;4288,1;113,1;600,4;713,5
Karadeniz Bölgesi;Amasya;Merzifon;10631;12993,4;342,8;1819,4;2162,2
Karadeniz Bölgesi;Amasya;Suluova;6889,8;8420,9;222,2;1179,1;1401,3
Karadeniz Bölgesi;Amasya;Taþova;4657,7;5692,7;150,2;797,1;947,3
Karadeniz Bölgesi;Amasya;Hamamözü;584,6;714,6;46283;100,1;46383,1
Ýç Anadolu Bölgesi;Ankara;Beypazarý;10149,1;12404,5;327,3;2109,1;2436,4
Ýç Anadolu Bölgesi;Ankara;Ayaþ;3267,1;3993,2;105,4;679;784,4
Ýç Anadolu Bölgesi;Ankara;Bala;7073,3;8645,2;228,1;1469,9;1698
Ýç Anadolu Bölgesi;Ankara;Altýndað;77793,8;95081,4;2508,9;16166,7;18675,6
Ýç Anadolu Bölgesi;Ankara;Çamlýdere;3184,7;3892,4;102,7;661,8;764,5
Ýç Anadolu Bölgesi;Ankara;Çubuk;18721;22881,3;603,8;3890,5;4494,3
Ýç Anadolu Bölgesi;Ankara;Çankaya;193607,9;236631,9;6243,9;40234,7;46478,6
Ýç Anadolu Bölgesi;Ankara;Haymana;9656,5;11802,4;311,4;2006,8;2318,2
Ýç Anadolu Bölgesi;Ankara;Güdül;2118;2588,6;68,3;440,1;508,4
Ýç Anadolu Bölgesi;Ankara;Kalecik;2827,7;3456,1;91,2;587,6;678,8
Ýç Anadolu Bölgesi;Ankara;Kýzýlcahamam;6863,7;8389;221,4;1426,4;1647,8
Ýç Anadolu Bölgesi;Ankara;Nallýhan;5905,9;7218,3;190,5;1227,3;1417,8
Ýç Anadolu Bölgesi;Ankara;Polatlý;25709,6;31422,9;829,1;5342,8;6171,9
Ýç Anadolu Bölgesi;Ankara;Pursaklar;30075,9;36759,4;969,9;6250,2;7220,1
Ýç Anadolu Bölgesi;Ankara;Akyurt;7271,8;8887,7;234,5;1511,2;1745,7
Ýç Anadolu Bölgesi;Ankara;Þ.Koçhisar;7190,6;8788,5;231,9;1494,3;1726,2
