il;ilce;hayvan;buyukbas_kucukbas_kanatli_diger;hayvan_sayisi_adet;atik_miktari_ton;enerji_esdegeri_tep_yil
Adana;Aladað;AT;Büyükbaþ Hayvan;60;328,5;46235
Adana;Ceyhan;AT;Büyükbaþ Hayvan;87;476,3;46175
Adana;Çukurova;AT;Büyükbaþ Hayvan;15;82,1;0,4
Adana;Feke;AT;Büyükbaþ Hayvan;95;520,1;46236
Adana;Ýmamoðlu;AT;Büyükbaþ Hayvan;34;186,2;1
Adana;Karaisalý;AT;Büyükbaþ Hayvan;160;876;46207
Adana;Karataþ;AT;Büyükbaþ Hayvan;5;46139;0,1
Adana;Kozan;AT;Büyükbaþ Hayvan;115;629,6;46115
Adana;Pozantý;AT;Büyükbaþ Hayvan;38;208,1;46023
Adana;Saimbeyli;AT;Büyükbaþ Hayvan;480;2628;46036
Adana;Sarýçam;AT;Büyükbaþ Hayvan;43;235,4;46082
Adana;Seyhan;AT;Büyükbaþ Hayvan;15;82,1;0,4
Adana;Tufanbeyli;AT;Büyükbaþ Hayvan;21;115;0,6
Adana;Yüreðir;AT;Büyükbaþ Hayvan;15;82,1;0,4
Adana;Aladað;EÞEK;Büyükbaþ Hayvan;45;123,2;0,4
Adana;Ceyhan;EÞEK;Büyükbaþ Hayvan;21;57,5;0,2
Adana;Çukurova;EÞEK;Büyükbaþ Hayvan;11;46052;0,1
Adana;Feke;EÞEK;Büyükbaþ Hayvan;153;418,8;46082
Adana;Ýmamoðlu;EÞEK;Büyükbaþ Hayvan;35;95,8;0,3
Adana;Karaisalý;EÞEK;Büyükbaþ Hayvan;65;177,9;0,6
Adana;Karataþ;EÞEK;Büyükbaþ Hayvan;2;46147;0
Adana;Kozan;EÞEK;Büyükbaþ Hayvan;200;547,5;46235
Adana;Pozantý;EÞEK;Büyükbaþ Hayvan;32;87,6;0,3
Adana;Saimbeyli;EÞEK;Büyükbaþ Hayvan;182;498,2;46174
Adana;Sarýçam;EÞEK;Büyükbaþ Hayvan;131;358,6;46054
Adana;Seyhan;EÞEK;Büyükbaþ Hayvan;57;156;0,5
