bolge_mudurlugu _adi;bolge_mudurlugune_bagli_iller;endustriyel_olarak_degerlendirilmeyenler_ster_yil_;suceyrattan_elde_edilebilecekler_ster_yil;toplam_enerji_esdegeri_tep_yil
ADANA B÷LGE M‹D‹RL‹–‹;OSMAN›YE / ADANA;730000;58000;175995
ADAPAZARI B÷LGE M‹D‹RL‹–‹;SAKARYA / KOCAEL›;19859;2607;4549,4
AMASYA B÷LGE M‹D‹RL‹–‹;«ORUM / SAMSUN / TOKAT / AMASYA;118328;1960;24358,3
ANKARA B÷LGE M‹D‹RL‹–‹;«ANKIRI / KIRﬁEH›R / KIRIKKALE / ANKARA;64481;0;14508,2
ANTALYA B÷LGE M‹D‹RL‹–‹;ANTALYA;209785;10706;49369,6
ARTV›N B÷LGE M‹D‹RL‹–‹;ARTV›N;25046;4000;5881,8
BALIKES›R B÷LGE M‹D‹RL‹–‹;«ANAKKALE / BALIKES›R;150241;21725;38203,5
BOLU B÷LGE M‹D‹RL‹–‹;D‹ZCE / BOLU;170000;27000;43717,5
BURSA B÷LGE M‹D‹RL‹–‹;BURSA / YALOVA / B›LEC›K;135999;29365;33486,2
DEN›ZL› B÷LGE M‹D‹RL‹–‹;UﬁAK / DEN›ZL›;100425;297;22662,5
ELAZI– B÷LGE M‹D‹RL‹–‹;B›TL›S / ELAZI– / HAKKAR› / MALATYA / MUﬁ / TUNCEL› / VAN / B›NG÷L;1750;0;354,4
ERZURUM B÷LGE M‹D‹RL‹–‹;ERZ›NCAN / ERZURUM / KARS / ARDAHAN / I–DIR / A–RI;35822;351;8131
ESK›ﬁEH›R B÷LGE M‹D‹RL‹–‹;ESK›ﬁEH›R / AFYONKARAH›SAR;37150;0;8358,8
G›RESUN B÷LGE M‹D‹RL‹–‹;ORDU / G›RESUN;23734;5487;5917,3
ISPARTA B÷LGE M‹D‹RL‹–‹;ISPARTA / BURDUR;5800;1000;1507,5
›STANBUL B÷LGE M‹D‹RL‹–‹;›STANBUL / KIRKLAREL› / TEK›RDA– / ED›RNE;160192;26807;37867,3
›ZM›R B÷LGE M‹D‹RL‹–‹;MAN›SA / ›ZM›R;56396;27260;18209,3
KAHRAMANMARAﬁ B÷LGE M‹D‹RL‹–‹;HATAY / KAHRAMANMARAﬁ / K›L›S / GAZ›ANTEP;32456;5525;8421,4
KASTAMONU B÷LGE M‹D‹RL‹–‹;S›NOP / KASTAMONU;259227;52092;68874,7
KAYSER› B÷LGE M‹D‹RL‹–‹;NEVﬁEH›R / N›–DE / S›VAS / YOZGAT / KAYSER›;29582;490;6089,6
KONYA B÷LGE M‹D‹RL‹–‹;AKSARAY / KARAMAN / KONYA;12166;1936;3129,4
K‹TAHYA B÷LGE M‹D‹RL‹–‹;K‹TAHYA;28547;11857;8824,1
MERS›N B÷LGE M‹D‹RL‹–‹;MERS›N;198800;47500;54348,8
MU–LA B÷LGE M‹D‹RL‹–‹;MU–LA / AYDIN;863667;0;194325,1
TRABZON B÷LGE M‹D‹RL‹–‹;R›ZE / TRABZON / BAYBURT / G‹M‹ﬁHANE;28325;3600;7102,1
ﬁANLIURFA B÷LGE M‹D‹RL‹–‹;D›YARBAKIR / MARD›N / S››RT / ﬁANLIURFA / BATMAN / ﬁIRNAK / ADIYAMAN;1000;0;202,5
ZONGULDAK B÷LGE M‹D‹RL‹–‹;BARTIN / KARAB‹K / ZONGULDAK;30541;46020;15503,6
